,Cons No,Dtr No,Category,Load,Latitude,Longitude,d
0,133010071108,18,46,1.0,24.9822656,92.5149967,1
1,133000003858,18,48,0.66,24.9802931,92.5221142,1
2,133000003826,18,48,0.48,24.9833331,92.5192449,1
3,133000019968,18,46,0.42,24.9759767,92.5363524,1
4,133000037023,18,46,1.0,24.9818843,92.5237227,1
5,133000030014,18,49,0.7,24.981843,92.5180911,1
6,133000017919,18,46,1.0,24.9756324,92.5348045,1
7,133000024497,18,46,1.0,24.9820629,92.5215811,1
8,133000024498,18,46,1.0,24.9799331,92.5214952,1
9,133000036496,18,46,1.0,24.9824071,92.5234827,1
10,133000017918,18,46,1.0,24.9839075,92.5169297,1
11,133000036490,18,46,1.0,24.9763315,92.5372811,1
12,133000015448,18,46,1.0,24.9826309,92.5153061,1
13,133000015419,18,46,0.42,24.9822204,92.5221928,1
14,133000035300,18,46,0.52,24.9775532,92.5307804,1
15,133010073298,18,46,1.0,24.9811228,92.5168533,1
16,133000003859,18,48,0.68,24.9802931,92.5221142,1
17,133000003860,18,48,0.4,24.9752409,92.5360428,1
18,133000003861,18,48,0.32,24.9828501,92.5195822,1
19,133000003867,18,48,3.0,24.983882,92.5189849,1
20,133000025268,18,48,0.62,24.9811176,92.5171628,1
21,133000018811,18,48,0.62,24.9830814,92.5193797,1
22,133000039343,18,46,1.0,24.981866,92.521434,1
23,133000007800,18,46,2.0,24.9840505,92.5190195,1
24,133000007812,18,46,2.0,24.9806741,92.5214952,1
25,133000042936,18,43,0.49,24.9840095,92.5181129,1
26,133000043235,18,46,0.49,24.981315,92.5229405,1
27,133010073297,18,46,1.0,24.9840751,92.5135377,1
28,133000043236,18,46,0.49,24.9812516,92.5230087,1
29,133000043237,18,46,0.49,24.9806897,92.5205668,1
30,133000043238,18,46,0.49,24.9799331,92.5214952,1
31,133000007794,18,46,0.48,24.9830838,92.5190489,1
32,133000007793,18,46,2.0,24.9823549,92.518584,1
33,133000019965,18,46,0.63,24.9824126,92.5234841,1
34,133000019967,18,46,0.44,24.9756324,92.5348045,1
35,133000035719,18,48,1.0,24.9833977,92.5191705,1
36,133000000410,18,46,0.7,24.9863542,92.5182578,1
37,133000017917,18,46,1.0,24.9763262,92.5375907,1
38,133000007797,18,46,0.5,24.9840348,92.5199479,1
39,133000017705,18,46,0.06,24.9811176,92.5171628,1
40,133000040844,18,46,0.49,24.9807619,92.5245733,1
41,133000040843,18,46,0.49,24.9807899,92.5239359,1
42,133000040842,18,46,0.49,24.9809561,92.523642,1
43,133000040841,18,46,0.49,24.9810961,92.523688,1
44,133000047095,18,46,1.0,24.981843,92.5180911,1
45,133000021150,18,46,2.05,24.981843,92.5180911,1
46,133000021160,18,46,1.0,24.9861928,92.5180905,1
47,133000037840,18,46,1.0,24.9823557,92.5192025,1
48,133000042761,18,46,1.0,24.9811734,92.5233179,1
49,133000030745,18,46,0.94,24.9806532,92.5227331,1
50,133000035844,18,46,0.94,24.982991,92.515925,1
51,133000037797,18,46,1.0,24.9799331,92.5214952,1
52,133000047094,18,46,1.0,24.9979272,92.5156997,1
53,133010072945,18,48,1.0,24.9815921,92.5109743,1
54,133000018448,18,46,0.06,24.9782655,92.5020874,1
55,133000020224,18,46,0.06,24.9814516,92.5193289,1
56,133000006109,18,48,1.0,24.9837501,92.5192506,1
57,133000020994,18,48,0.31,24.9834699,92.5194007,1
58,133000020223,18,46,0.06,24.9820285,92.5241468,1
59,133000029581,18,46,0.62,24.9818698,92.5237421,1
60,133000017916,18,46,1.0,24.9822219,92.5221912,1
61,133000017907,18,46,1.0,24.9839608,92.5166416,1
62,133000016565,18,46,0.42,24.9763682,92.5351141,1
63,133000036144,18,48,1.0,24.9823533,92.5194261,1
64,133000017903,18,46,1.0,24.985199,92.5175903,1
65,133000017889,18,46,1.0,24.9833381,92.5192372,1
66,133000020192,18,46,0.06,24.9763315,92.5372811,1
67,133000020194,18,46,0.06,24.981436,92.5202573,1
68,133000020196,18,46,0.06,24.9763682,92.5351141,1
69,133000020197,18,46,0.06,24.9763682,92.5351141,1
70,133000020200,18,46,1.0,24.981843,92.5180911,1
71,133000020187,18,46,0.06,24.9821979,92.5190195,1
72,133000029582,18,46,0.57,24.9799331,92.5214952,1
73,133000012546,44,46,1.0,24.9546055,92.5072616,1
74,133000012568,44,46,1.0,24.9693406,92.4902489,1
75,133000012553,44,46,0.06,24.9701023,92.4890118,1
76,133000012556,44,46,0.06,24.963695,92.4955067,1
77,133000012552,44,46,1.0,24.94977,92.5006717,1
78,133000012558,44,46,0.06,24.9701023,92.4890118,1
79,133000012559,44,46,0.06,24.9526217,92.5002667,1
80,133000012561,44,46,1.0,24.9526475,92.5003981,1
81,133000012547,44,46,0.06,24.9701023,92.4890118,1
82,133000011600,44,46,1.0,24.9351027,92.5211857,1
83,133000012563,44,46,1.0,24.9701023,92.4890118,1
84,133000012549,44,46,0.06,24.981206,92.5119025,1
85,133000012548,44,46,1.0,24.9802322,92.5158979,1
86,133000012566,44,46,0.06,24.9701023,92.4890118,1
87,133000037800,44,46,1.0,24.9701023,92.4890118,1
88,133000012543,44,46,1.0,24.9693406,92.4902489,1
89,133000012544,44,46,1.0,24.9701023,92.4890118,1
90,133000012551,44,46,0.06,24.9803713,92.5174722,1
91,133000011559,44,46,1.0,24.9707919,92.4921045,1
92,133000011598,44,46,1.0,24.9693406,92.4902489,1
93,133000011563,44,46,1.0,24.9693406,92.4902489,1
94,133000011560,44,46,1.0,24.9667314,92.4911767,1
95,133000011558,44,46,0.2,24.9707919,92.4921045,1
96,133000011557,44,46,0.2,24.9519347,92.499786,1
97,133000011556,44,46,1.0,24.9693406,92.4902489,1
98,133000011555,44,46,1.0,24.9526583,92.4993167,1
99,133000011554,44,46,1.0,24.9526616,92.4993237,1
100,133000011553,44,46,0.2,24.9516627,92.4999816,1
101,133000011552,44,46,1.0,24.95199,92.4998233,1
102,133000011550,44,46,0.2,24.9701023,92.4890118,1
103,133000011549,44,46,1.0,24.9693406,92.4902489,1
104,133000011548,44,46,1.0,24.9667416,92.490564,1
105,133000011547,44,46,0.2,24.9693406,92.4902489,1
106,133000011544,44,46,1.0,24.9508784,92.5004217,1
107,133000011542,44,46,0.2,24.9514367,92.501045,1
108,133000011540,44,46,0.2,24.9509276,92.5007124,1
109,133000011539,44,46,1.0,24.9502617,92.4989267,1
110,133000011538,44,46,1.0,24.9707919,92.4921045,1
111,133000011537,44,46,1.0,24.9693406,92.4902489,1
112,133000011534,44,46,1.0,24.9701023,92.4890118,1
