,Sub Div Code,Dtr No,DTR Name,Feeder No,Latitude,Longitude,Total Capacity_kVA,Load,Value
0,133,18,018-paikan,5,24.9823071,92.5210001,100.0,56.39,1
1,133,44,044-KHELMA,2,24.9536851,92.4990678,63.0,58.06,1
2,133,46,046-CRAIGPARK,5,25.008613,92.5257821,63.0,48.92,1
3,133,50,050-9BPL II,2,24.999775,92.4433517,25.0,9.28,1
4,133,54,054-BPR 1,9,24.9079803,92.6735551,63.0,26.6,1
5,133,55,055-BPR1,9,24.9283744,92.6523529,63.0,60.660000000000004,1
6,133,57,057-CHANDPUR III,9,24.9056361,92.6751281,100.0,34.8,1
7,133,102,Kalain Bazar (Near FRU),2,24.9678249,92.5729239,250.0,401.32,-1
8,133,103,Kalain Bazar (Near Gas Agency),1,24.965162,92.5757561,100.0,76.64,1
9,133,105,"Kalain (Near KESD, APDCL)",2,24.9686385,92.5690119,250.0,446.58,-1
10,133,106,Kalain (Near PHE),2,24.9664166,92.5686026,100.0,113.98,-1
11,133,108,Kalain Brahmangram (Near Jio),2,24.9691765,92.5667413,250.0,436.25,-1
12,133,109,109- Kalain (Tarapur- College Road),2,24.9703105,92.563359,63.0,117.28,-1
13,133,110,110-KAKRAKHAL,2,24.976445,92.5651117,63.0,44.85,1
14,133,111,111-BHAIRABPUR-V,2,24.9582566,92.5465243,100.0,75.77,1
15,133,112,112-BHAIRABPUR MASJID,2,24.964695,92.5581733,16.0,19.03,-1
16,133,114,114-NATANPUR,2,24.9578008,92.5632724,100.0,178.13,-1
17,133,115,Boroitoli (Near Masjid),2,24.9470533,92.5667217,250.0,163.48,1
18,133,117,117-NATANPUR,2,24.948529,92.5645731,16.0,11.95,1
19,133,118,118-DIGABUR BASTI,2,24.9489022,92.5536784,100.0,46.76,1
20,133,120,120-BHAIRABPUR-V (NEAR KAKRAKHAL),2,24.9669217,92.5540773,100.0,115.63,-1
21,133,121,121-BHAIRABPUR-III HILUATILLA,2,24.93532,92.539665,16.0,16.37,-1
