,Dtr No2,Total Load
0,18,56.39
1,22,20.95
2,43,119.91
3,44,58.06
4,46,48.92
5,47,29.94
6,50,9.28
7,51,40.01
8,52,15.81
9,54,26.6
10,55,60.660000000000004
11,57,34.8
12,76,8.06
13,102,401.32
14,103,76.64
15,105,446.58
16,106,113.98
17,108,436.25
18,109,117.28
19,110,44.85
20,111,75.77
21,112,19.03
22,113,100.35
23,114,178.13
24,115,163.48
25,117,11.95
26,118,46.76
27,120,115.63
28,121,16.37
29,122,19.54
30,125,47.99
31,126,195.99
32,127,96.15
33,128,33.77
34,130,309.85
35,131,3.3899999999999997
36,132,157.98
37,133,22.11
38,134,57.339999999999996
39,135,96.88
40,137,42.01
41,138,18.91
42,139,93.43
43,140,48.03
44,141,17.05
45,142,270.73
46,144,59.93
47,145,48.45
48,146,107.67
49,147,21.009999999999998
50,148,18.18
51,149,34.16
52,150,168.53
53,151,55.11
54,152,112.37
55,153,78.34
56,154,14.04
57,155,99.46
58,156,111.89
59,157,15.96
60,158,66.59
61,159,62.36
62,160,134.79
63,161,115.98
64,162,36.6
65,164,61.73
66,165,37.94
67,166,15.79
68,168,112.62
69,169,32.74
70,170,40.14
71,171,22.419999999999998
72,172,87.46
73,173,13.23
74,174,63.9
75,176,69.46000000000001
76,177,51.13
77,178,8.59
78,179,26.45
79,180,14.469999999999999
80,181,47.95
81,182,16.87
82,183,48.05
83,187,73.19
84,189,40.33
85,190,25.73
86,202,16.169999999999998
87,203,67.11
88,204,49.14
89,205,38.28
90,206,42.86
91,208,102.17999999999999
92,209,26.62
93,210,11.77
94,212,24.01
95,213,62.14
96,214,154.95
97,215,16.0
98,220,108.92999999999999
99,221,36.35
100,222,86.46
101,224,8.37
102,225,21.19
103,229,20.69
104,230,17.8
105,231,10.33
106,232,78.06
107,233,29.0
108,234,62.48
109,235,115.89
110,236,85.49
111,237,41.83
112,238,46.56
113,241,32.69
114,244,108.58
115,245,219.48
116,246,27.34
117,247,8.07
118,248,17.27
119,249,18.95
120,253,10.620000000000001
121,257,44.61
122,258,43.31
123,260,5.89
124,261,13.89
125,263,3.0
126,264,7.4
127,265,5.890000000000001
128,267,10.46
129,268,12.18
130,300,24.44
131,301,138.74
132,302,155.25
133,303,42.78
134,305,30.11
135,306,56.12
136,307,40.24
137,308,111.14
138,311,29.76
139,312,274.67
140,313,32.45
141,314,52.519999999999996
142,315,78.62
143,316,25.89
144,317,16.49
145,322,41.36
146,324,16.22
147,325,5.29
148,326,9.21
149,327,10.0
150,328,11.52
151,329,47.64
152,331,7.890000000000001
153,332,6.37
154,333,88.82
155,334,39.82
156,335,14.16
157,336,19.43
158,341,124.02
159,342,69.69
160,346,49.47
