Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude
133,018,018-paikan,5,100 kVA,24.9823071,92.5210001
133,044,044-KHELMA,2,63  kVA,24.9536851,92.4990678
133,046,046-CRAIGPARK,5,63  kVA,25.008613,92.5257821
133,050,050-9BPL II,2,25  kVA,24.999775,92.4433517
133,054,054-BPR 1,9,63  kVA,24.9079803,92.6735551
133,055,055-BPR1,9,63  kVA,24.9283744,92.6523529
133,057,057-CHANDPUR III,9,100 kVA,24.9056361,92.6751281
133,1003,Chandpur-I (Nokyary) (Near PHE),7,25  kVA,24.8881058,92.6517365
133,1005,Chandpur-I ( Near Masjid),7,25  kVA,24.8866357,92.656414
133,1009,1009- Dudhpur Lamargram (Dindayal),7,25  kVA,24.8805672,92.6561599
133,1010,1010-Lakhipur-III (Dindayal) DT-1,6,25  kVA,24.9022079,92.6348132
133,1014,1014-Khelma III (Dindayal),2,63  kVA,24.9632297,92.5064162
133,1015,1015-Sarajpur (Daspara) (Dindayal),2,63  kVA,24.9656625,92.4871535
133,1016,1016-Paikan (Ujangram) (Dindayal),5,25  kVA,24.983425,92.5234193
133,1017,1017- Craigpark Mikir Punjee (Shivtilla) (Dindayal),5,25  kVA,25.0056752,92.5290112
133,102,Kalain Bazar (Near FRU),2,250 kVA,24.9678249,92.5729239
133,1025,1025-Saidpur II (Kalibari) (Dindayal),8,25  kVA,24.9330799,92.4918628
133,1028,1028- Baraitoli Pt IV (Dindayal) DT-1,2,100 kVA,24.92543,92.5728383
133,1029,1029- Baraitoli Pt IV (Dindayal) DT-2,2,25  kVA,24.9230216,92.5676126
133,103,Kalain Bazar (Near Gas Agency),1,100 kVA,24.965162,92.5757561
133,1032,1032- Mahadevpur (Talkargrant) (Dindayal),2,25  kVA,24.9889745,92.4697754
133,1033,1033- Mahanpur (Near Samsul House) DT- 2,6,25  kVA,24.9120345,92.6110038
133,1034,1034-Bhairabpur II (16 kva),2,16  kVA,24.9371434,92.5374317
133,1037,1037- Sewti Pt IV (Dindayal),9,63  kVA,24.9076933,92.6451983
133,1038,1038- Bhairabpr I (Near M E School) (SOUBHAGYA),2,100 kVA,24.9555573,92.5450503
133,1042,1042- Dudpur II (SANJOG),7,25  kVA,24.8600232,92.6782089
133,1045,1045- Sraspur (SANJOG),2,25  kVA,24.9638836,92.4855904
133,1047,1047- Lahamali (SANJOG) 25,8,25  kVA,24.8852686,92.5550845
133,1048,1048- Mahadevpur III,2,25  kVA,24.9576767,92.4696317
133,1049,1049- Bhangarpar III & IV,9,25  kVA,24.91478,92.660075
133,105,"Kalain (Near KESD, APDCL)",2,250 kVA,24.9686385,92.5690119
133,1057,1057- Buribail III,7,25  kVA,24.870244,92.723572
133,1059,1059- Khelma II (SANJOG),2,25  kVA,24.9638576,92.4897577
133,106,Kalain (Near PHE),2,100 kVA,24.9664166,92.5686026
133,108,Kalain Brahmangram (Near Jio),2,250 kVA,24.9691765,92.5667413
133,109,109- Kalain (Tarapur- College Road),2,63  kVA,24.9703105,92.563359
133,110,110-KAKRAKHAL,2,63  kVA,24.976445,92.5651117
133,111,111-BHAIRABPUR-V,2,100 kVA,24.9582566,92.5465243
133,112,112-BHAIRABPUR MASJID,2,16  kVA,24.964695,92.5581733
133,114,114-NATANPUR,2,100 kVA,24.9578008,92.5632724
133,115,Boroitoli (Near Masjid),2,250 kVA,24.9470533,92.5667217
133,117,117-NATANPUR,2,16  kVA,24.948529,92.5645731
133,118,118-DIGABUR BASTI,2,100 kVA,24.9489022,92.5536784
133,120,120-BHAIRABPUR-V (NEAR KAKRAKHAL),2,100 kVA,24.9669217,92.5540773
133,121,121-BHAIRABPUR-III HILUATILLA,2,16  kVA,24.93532,92.539665
133,125,125-SALIMABAD,2,25  kVA,24.9386353,92.527886
133,126,126-KAKRAKHAL,2,250 kVA,24.9723066,92.5564977
133,128,128-KHELMA-VI,2,25  kVA,24.946875,92.47223
133,130,130-KHELMA VIII,2,250 kVA,24.9775874,92.5293892
133,132,132-BHUBANESWARNAGAR,9,250 kVA,24.9292817,92.6465267
133,133,133-PAIKAN 25 kVA,5,25  kVA,24.9788613,92.5263126
133,134,134-TARAPUR ULLAKHAL,2,100 kVA,24.9739033,92.5473926
133,135,Paikan (Near Masjid),2,100 kVA,24.9774788,92.5120053
133,139,139-KOROCHURA 63KVA,2,63  kVA,24.9758216,92.5355262
133,140,140-KHELMA 16KV,2,63  kVA,24.9730496,92.5161298
133,141,141-KHELMA-III VII,2,16  kVA,24.9605042,92.501977
133,142,142-KHLMA,2,250 kVA,24.9785554,92.5192671
133,144,144-KHELMA II,2,16  kVA,24.9573254,92.4979798
133,145,145-SADIRKHAL BAZAR,2,63  kVA,24.9518244,92.4867608
133,146,146-JALALPUR KUSIERKUL,2,100 kVA,24.992735,92.457385
133,147,147-TARAPUR,2,16  kVA,24.9917083,92.4432209
133,148,148-LEVERPUTA,2,16  kVA,24.945659,92.4661563
133,150,150-dudpur-63-kva,7,100 kVA,24.8731221,92.6737717
133,151,151-SARASPUR,2,100 kVA,24.975134,92.4996664
133,153,153-KHELMA,2,100 kVA,24.9833766,92.5292307
133,155,155-RAJPUR 63 KVA,2,100 kVA,24.9889367,92.4918183
133,156,156-TALKARGRANT,2,100 kVA,24.9884867,92.4744267
133,157,157-MAHADEVPUR RGGVY,2,25  kVA,24.9730315,92.4644123
133,159,Paikan,2,100 kVA,24.9794743,92.5162463
133,160,160-PEERNAGAR,2,100 kVA,24.9745778,92.4590091
133,162,162-Mahadevpur,2,25  kVA,24.958411,92.4790336
133,164,Bhairabpur Part-I,2,63  kVA,24.9772193,92.5286137
133,165,165-Bhairabpur-i(25kva RGGVY),2,63  kVA,24.9651004,92.5453318
133,168,168-TARAPUR,2,100 kVA,24.9929052,92.4557199
133,169,169-SOUTH TARAPUR,2,25  kVA,24.9911767,92.4508667
133,170,170-BISWAMBARPUR,2,63  kVA,24.999395,92.4441
133,171,171-16-Digabar TE,2,16  kVA,24.9491235,92.5537207
133,176,176-NIJ JALALPUR II,2,100 kVA,24.9690184,92.4455317
133,177,177-NIJ JALALPUR I,2,63  kVA,24.9688283,92.4418817
133,178,178-KHELMA JALALPUR,2,25  kVA,24.9533152,92.4891377
133,180,180-KARABALAGRANT 16KVA,2,16  kVA,25.017396,92.4394882
133,181,181-GUMRAHGRANT 16KVA,2,16  kVA,24.9997368,92.438912
133,187,187-BHAIRABPUR-V,2,63  kVA,24.9596713,92.5561959
133,190,190-BHAIRABPUR-I,2,16  kVA,24.96872,92.4374547
133,2009,Lakhipur III (Near Manipuri Mandir),6,25  kVA,24.9432283,92.5897883
133,2010,Lakhipur II (Near Gas Agency),6,25  kVA,24.9518193,92.5868498
133,2013,Barailtoli (Hilarkandi) (Near Itt Bhatta),6,63  kVA,24.9480118,92.5799013
133,2014,Mohanpur II (Near ONGC),6,25  kVA,24.8912615,92.5928227
133,2015,Mohanpur II (Khanjalla),6,25  kVA,24.8947567,92.586095
133,2016,Khelma-IV(DDUGJY),2,63  kVA,24.9217317,92.601031
133,2017,Chandpur II (Near Natun LP School),9,25  kVA,24.8890067,92.6663333
133,202,202-CHALIGRAM,5,16  kVA,24.9854924,92.5705834
133,203,203-DHUMKAR CHALIRGRAM,5,100 kVA,24.9753902,92.5707701
133,2034,Tikarbosti(NearIOC)25KVA,201,25  kVA,24.9449015,92.7173748
133,2039,SONAPUR III(MOROITOL)63KVA,201,63  kVA,24.9321317,92.6898139
133,204,204-CHOLIGRAM 63KV,5,63  kVA,24.9812422,92.5660439
133,2041,SonapurPTI(Kunagram)25KVA,201,25  kVA,24.9371133,92.6760321
133,2042,SunapurPT-i(NearSchool)25KVA,201,25  kVA,24.9368481,92.6729154
133,2045,Sonapur PT I(Dispur) 100 kva,201,100 kVA,24.9338483,92.6674865
133,205,205-GOBINDOKUPA,5,25  kVA,24.9976379,92.5256959
133,206,206-MEZENTA A,5,25  kVA,24.9969822,92.5761275
133,2068,Bhangarpar IV,9,63  kVA,24.9190483,92.66124
133,2072,Khelma-III(Near Kali Mandir),2,25  kVA,24.9609532,92.5036777
133,2073,Rajpur Talkar grant 2,2,25  kVA,24.9887754,92.4840191
133,2077,HARINAGAR PT II (NEW 25KVA),8,25  kVA,24.890085,92.497935
133,2078,25KVA KATIGORAH PT II NEAR SUKRITIPUR STATION,8,25  kVA,24.8978267,92.5732533
133,2079,Bhairabpur Pt II New 16 kVA,2,16  kVA,24.9331093,92.5384153
133,208,208-soligram 63-kva,5,100 kVA,24.9753915,92.5700057
133,2081,BHAIRABPUR-II(SALIMABAD),2,16  kVA,24.9391749,92.532011
133,2082,HARINAGAR PT II NEAR MASJID 25KVA,8,25  kVA,24.88349,92.4976567
133,2084,CHANDINAGAR PT II NEAR LP SCHOOL 25,8,25  kVA,24.9218404,92.4947131
133,2087,NANDIRPAR NEAR BSF CAMP,2,63  kVA,24.9540415,92.4975261
133,2089,KUNAPARAGRANT,5,16  kVA,24.9901817,92.54935
133,2090,Lakhipur PT I (Near Baliuna),6,25  kVA,24.959521,92.5740704
133,2091,Lakhipur PT I (Near Forest Gate),6,100 kVA,24.962372,92.578251
133,2092,LEVERPUTA II,2,16  kVA,24.9554018,92.4854721
133,2099,LEVERPUTA I,2,63  kVA,24.9460569,92.4629548
133,210,210-majanta-te-16-kva,5,16  kVA,24.9978367,92.5670533
133,2103,JAGADISHPUR V,8,25  kVA,24.9026655,92.5598498
133,2105,LEVERPUTA II,2,25  kVA,24.9482087,92.476852
133,2106,JAGADISHPUR V,8,25  kVA,24.893199,92.5580641
133,2108,RONGHAR I,9,25  kVA,24.9227016,92.6727785
133,2109,JALALPUR ( DONARPAR ),2,25  kVA,24.9753592,92.4544688
133,2110,JALALPUR ( DONARPAR ),2,63  kVA,24.9768917,92.4521483
133,2111,Natanpur ongc,2,25  kVA,24.9953112,92.4313496
133,2113,DIGABOR GRANT,2,25  kVA,24.9454595,92.5485232
133,2119,khelma part ii,2,25  kVA,24.963094,92.4865513
133,212,212-mougram 16-kva,5,16  kVA,24.98784,92.5492533
133,2120,khelma part ii,2,25  kVA,24.9607826,92.4857204
133,2121,khrelma part ii,2,25  kVA,24.9576266,92.4866441
133,2122,GOALNAGAR,2,25  kVA,24.9591752,92.4823453
133,2128,NIZ FULBARI PART I,7,25  kVA,24.8712812,92.620134
133,213,213-63-KVA,9,63  kVA,24.948225,92.6438217
133,2138,MAHADEVPUR III,2,63  kVA,24.9622032,92.471702
133,214,214-buranga-2--100 kVA,9,100 kVA,24.9509467,92.6202567
133,2140,barjatrapur(near public school),9,63  kVA,24.9024318,92.6922736
133,2141,barjatrapur bus stand,9,250 kVA,24.9030752,92.7054417
133,2142,NATANPUR  CHOUMATHA,2,25  kVA,24.9994617,92.4271217
133,2144,GOKULNAGAR,5,25  kVA,25.0098,92.5022417
133,215,215-bELTILLA-16-kva,5,16  kVA,24.9953417,92.4941183
133,2152,NIZFULBARI-III DDUGJY-21,7,25  kVA,24.8495584,92.6481093
133,2160,CHANDPUR KANDIGRAM(NEAR JIO),9,25  kVA,24.8856517,92.6731217
133,2161,63 kVA CHANDIPUR New DDUGJY 21,2,25  kVA,24.9862174,92.5073947
133,2163,SIDDHESWAR PT II NEW DDUGJY21,8,25  kVA,24.8776801,92.5823275
133,2164,NATANPUR NEW DDUGJY 21,2,63  kVA,25.0029883,92.43447
133,2165,SEWTI PT I NEW DDUGJY21,9,63  kVA,24.9443043,92.655665
133,2166,SEWTI PT IV NEW DDUGJY21,9,63  kVA,24.9124983,92.6420833
133,2167,BOALCHERA NEW DDUGJY21,5,16  kVA,25.0071856,92.5626613
133,2176,HARINAGAR-II DDUGJY21,8,25  kVA,24.8844517,92.49575
133,2177,HARINAGAR -III DDUGJY21,8,25  kVA,24.8828417,92.50572
133,2184,MOHONPUR-I DDUGJY21,6,63  kVA,24.9196555,92.5984742
133,2185,MOHANPUR-I DDUGJY21,6,25  kVA,24.9100576,92.6016071
133,2191,DUDHPUR DDUGJY21,7,25  kVA,24.875515,92.6476307
