,Dtr No2,Total Load,Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude,comparison_column
0,18,56.39,133.0,18,018-paikan,5.0,100 kVA,24.9823071,92.5210001,True
1,22,20.95,133.0,44,044-KHELMA,2.0,63  kVA,24.9536851,92.4990678,False
2,43,119.91,133.0,46,046-CRAIGPARK,5.0,63  kVA,25.008613,92.5257821,False
3,44,58.06,133.0,50,050-9BPL II,2.0,25  kVA,24.999775,92.4433517,False
4,46,48.92,133.0,54,054-BPR 1,9.0,63  kVA,24.9079803,92.6735551,False
5,47,29.94,133.0,55,055-BPR1,9.0,63  kVA,24.9283744,92.6523529,False
6,50,9.28,133.0,57,057-CHANDPUR III,9.0,100 kVA,24.9056361,92.6751281,False
7,51,40.01,133.0,102,Kalain Bazar (Near FRU),2.0,250 kVA,24.9678249,92.5729239,False
8,52,15.81,133.0,103,Kalain Bazar (Near Gas Agency),1.0,100 kVA,24.965162,92.5757561,False
9,54,26.6,133.0,105,"Kalain (Near KESD, APDCL)",2.0,250 kVA,24.9686385,92.5690119,False
10,55,60.660000000000004,133.0,106,Kalain (Near PHE),2.0,100 kVA,24.9664166,92.5686026,False
11,57,34.8,133.0,108,Kalain Brahmangram (Near Jio),2.0,250 kVA,24.9691765,92.5667413,False
12,76,8.06,133.0,109,109- Kalain (Tarapur- College Road),2.0,63  kVA,24.9703105,92.563359,False
13,102,401.32,133.0,110,110-KAKRAKHAL,2.0,63  kVA,24.976445,92.5651117,False
14,103,76.64,133.0,111,111-BHAIRABPUR-V,2.0,100 kVA,24.9582566,92.5465243,False
15,105,446.58,133.0,112,112-BHAIRABPUR MASJID,2.0,16  kVA,24.964695,92.5581733,False
16,106,113.98,133.0,114,114-NATANPUR,2.0,100 kVA,24.9578008,92.5632724,False
17,108,436.25,133.0,115,Boroitoli (Near Masjid),2.0,250 kVA,24.9470533,92.5667217,False
18,109,117.28,133.0,117,117-NATANPUR,2.0,16  kVA,24.948529,92.5645731,False
19,110,44.85,133.0,118,118-DIGABUR BASTI,2.0,100 kVA,24.9489022,92.5536784,False
20,111,75.77,133.0,120,120-BHAIRABPUR-V (NEAR KAKRAKHAL),2.0,100 kVA,24.9669217,92.5540773,False
21,112,19.03,133.0,121,121-BHAIRABPUR-III HILUATILLA,2.0,16  kVA,24.93532,92.539665,False
22,113,100.35,133.0,125,125-SALIMABAD,2.0,25  kVA,24.9386353,92.527886,False
23,114,178.13,133.0,126,126-KAKRAKHAL,2.0,250 kVA,24.9723066,92.5564977,False
24,115,163.48,133.0,128,128-KHELMA-VI,2.0,25  kVA,24.946875,92.47223,False
25,117,11.95,133.0,130,130-KHELMA VIII,2.0,250 kVA,24.9775874,92.5293892,False
26,118,46.76,133.0,132,132-BHUBANESWARNAGAR,9.0,250 kVA,24.9292817,92.6465267,False
27,120,115.63,133.0,133,133-PAIKAN 25 kVA,5.0,25  kVA,24.9788613,92.5263126,False
28,121,16.37,133.0,134,134-TARAPUR ULLAKHAL,2.0,100 kVA,24.9739033,92.5473926,False
29,122,19.54,133.0,135,Paikan (Near Masjid),2.0,100 kVA,24.9774788,92.5120053,False
30,125,47.99,133.0,139,139-KOROCHURA 63KVA,2.0,63  kVA,24.9758216,92.5355262,False
31,126,195.99,133.0,140,140-KHELMA 16KV,2.0,63  kVA,24.9730496,92.5161298,False
32,127,96.15,133.0,141,141-KHELMA-III VII,2.0,16  kVA,24.9605042,92.501977,False
33,128,33.769999999999996,133.0,142,142-KHLMA,2.0,250 kVA,24.9785554,92.5192671,False
34,130,309.85,133.0,144,144-KHELMA II,2.0,16  kVA,24.9573254,92.4979798,False
35,131,3.3899999999999997,133.0,145,145-SADIRKHAL BAZAR,2.0,63  kVA,24.9518244,92.4867608,False
36,132,157.98,133.0,146,146-JALALPUR KUSIERKUL,2.0,100 kVA,24.992735,92.457385,False
37,133,22.11,133.0,147,147-TARAPUR,2.0,16  kVA,24.9917083,92.4432209,False
38,134,57.34,133.0,148,148-LEVERPUTA,2.0,16  kVA,24.945659,92.4661563,False
39,135,96.88,133.0,150,150-dudpur-63-kva,7.0,100 kVA,24.8731221,92.6737717,False
40,137,42.01,133.0,151,151-SARASPUR,2.0,100 kVA,24.975134,92.4996664,False
41,138,18.91,133.0,153,153-KHELMA,2.0,100 kVA,24.9833766,92.5292307,False
42,139,93.42999999999999,133.0,155,155-RAJPUR 63 KVA,2.0,100 kVA,24.9889367,92.4918183,False
43,140,48.03,133.0,156,156-TALKARGRANT,2.0,100 kVA,24.9884867,92.4744267,False
44,141,17.05,133.0,157,157-MAHADEVPUR RGGVY,2.0,25  kVA,24.9730315,92.4644123,False
45,142,270.73,133.0,159,Paikan,2.0,100 kVA,24.9794743,92.5162463,False
46,144,59.93,133.0,160,160-PEERNAGAR,2.0,100 kVA,24.9745778,92.4590091,False
47,145,48.45,133.0,162,162-Mahadevpur,2.0,25  kVA,24.958411,92.4790336,False
48,146,107.67,133.0,164,Bhairabpur Part-I,2.0,63  kVA,24.9772193,92.5286137,False
49,147,21.01,133.0,165,165-Bhairabpur-i(25kva RGGVY),2.0,63  kVA,24.9651004,92.5453318,False
50,148,18.18,133.0,168,168-TARAPUR,2.0,100 kVA,24.9929052,92.4557199,False
51,149,34.16,133.0,169,169-SOUTH TARAPUR,2.0,25  kVA,24.9911767,92.4508667,False
52,150,168.53,133.0,170,170-BISWAMBARPUR,2.0,63  kVA,24.999395,92.4441,False
53,151,55.11,133.0,171,171-16-Digabar TE,2.0,16  kVA,24.9491235,92.5537207,False
54,152,112.37,133.0,176,176-NIJ JALALPUR II,2.0,100 kVA,24.9690184,92.4455317,False
55,153,78.34,133.0,177,177-NIJ JALALPUR I,2.0,63  kVA,24.9688283,92.4418817,False
56,154,14.040000000000001,133.0,178,178-KHELMA JALALPUR,2.0,25  kVA,24.9533152,92.4891377,False
57,155,99.46,133.0,180,180-KARABALAGRANT 16KVA,2.0,16  kVA,25.017396,92.4394882,False
58,156,111.89,133.0,181,181-GUMRAHGRANT 16KVA,2.0,16  kVA,24.9997368,92.438912,False
59,157,15.96,133.0,187,187-BHAIRABPUR-V,2.0,63  kVA,24.9596713,92.5561959,False
60,158,66.59,133.0,190,190-BHAIRABPUR-I,2.0,16  kVA,24.96872,92.4374547,False
61,159,62.36,133.0,202,202-CHALIGRAM,5.0,16  kVA,24.9854924,92.5705834,False
62,160,134.79,133.0,203,203-DHUMKAR CHALIRGRAM,5.0,100 kVA,24.9753902,92.5707701,False
63,161,115.98,133.0,204,204-CHOLIGRAM 63KV,5.0,63  kVA,24.9812422,92.5660439,False
64,162,36.6,133.0,205,205-GOBINDOKUPA,5.0,25  kVA,24.9976379,92.5256959,False
65,164,61.73,133.0,206,206-MEZENTA A,5.0,25  kVA,24.9969822,92.5761275,False
66,165,37.94,133.0,208,208-soligram 63-kva,5.0,100 kVA,24.9753915,92.5700057,False
67,166,15.79,133.0,210,210-majanta-te-16-kva,5.0,16  kVA,24.9978367,92.5670533,False
68,168,112.62,133.0,212,212-mougram 16-kva,5.0,16  kVA,24.98784,92.5492533,False
69,169,32.74,133.0,213,213-63-KVA,9.0,63  kVA,24.948225,92.6438217,False
70,170,40.14,133.0,214,214-buranga-2--100 kVA,9.0,100 kVA,24.9509467,92.6202567,False
71,171,22.419999999999998,133.0,215,215-bELTILLA-16-kva,5.0,16  kVA,24.9953417,92.4941183,False
72,172,87.46,133.0,220,220-GUMRAH BAZAR,2.0,250 kVA,24.9535133,92.5436405,False
73,173,13.23,133.0,222,Gumrah Kandigram (Near Sitaram Mandir),2.0,100 kVA,24.9717386,92.5116168,False
74,174,63.9,133.0,225,225-DIGORKHAL,5.0,25  kVA,24.9899721,92.517014,False
75,176,69.46,133.0,229,229-RAJESHWARPUR II,5.0,16  kVA,24.9917735,92.4835377,False
76,177,51.13,133.0,230,230-megenta te 16-kva,5.0,16  kVA,24.9967802,92.5714094,False
77,178,8.59,133.0,231,231-kalainchora-100-kva,5.0,25  kVA,25.0121901,92.5048747,False
78,179,26.45,133.0,233,233-SPPS65 LAKHICHERA,5.0,16  kVA,25.0232498,92.4868399,False
79,180,14.47,133.0,236,236-100 KVA KURKURI BHANGARPAR,1.0,100 kVA,24.9590683,92.5890967,False
80,181,47.95,133.0,241,241-BATULMARAGRANT J.T.E,5.0,25  kVA,24.9997139,92.4609219,False
81,182,16.87,133.0,244,244-DUMKAR- SP-60 100 kVA,2.0,100 kVA,24.9677633,92.576205,False
82,183,48.05,133.0,245,245-JALALPUR BAZAR,5.0,250 kVA,25.0009083,92.4550533,False
83,187,73.19,133.0,246,246-63-KVA,5.0,63  kVA,24.9869241,92.5360573,False
84,189,40.33,133.0,247,Punaparagrant mikirpunji1,5.0,16  kVA,24.9925378,92.5492918,False
85,190,25.73,133.0,249,Gonirgram-iii,7.0,25  kVA,24.8481474,92.6604985,False
86,202,16.169999999999998,133.0,257,Kalinagar-1,7.0,63  kVA,24.8709933,92.6136883,False
87,203,67.11,133.0,258,Gonigram-iii,7.0,25  kVA,24.8565724,92.6800705,False
88,204,49.14,133.0,260,Gonigram-iv,7.0,16  kVA,24.8692375,92.6950907,False
89,205,38.28,133.0,263,Katirail T.E,8.0,25  kVA,24.9238133,92.5935917,False
90,206,42.86,133.0,264,Craigpark -4 NO Basti,5.0,25  kVA,25.013576,92.5176831,False
91,208,102.17999999999999,133.0,267,Tarinipur-iii,7.0,25  kVA,24.8717246,92.6329332,False
92,209,26.62,133.0,303,303-Menum Mikirpunji 25 kVA,5.0,25  kVA,25.000872,92.5033323,False
93,210,11.77,133.0,306,306-KURKURI/BHANGARPAR,1.0,100 kVA,24.9568633,92.595415,False
94,212,24.01,133.0,307,Monipur-1 16 kVA,1.0,16  kVA,24.9542333,92.599904,False
95,213,62.14,133.0,308,Sundhura near Kalain Bagan down,3.0,100 kVA,24.980374,92.5768837,False
96,214,154.95,133.0,311,311-Behara Pt V (Kalacheri) (Dindayal) DT- 1,6.0,63  kVA,24.9108265,92.6196087,False
97,215,16.0,133.0,324,324-Chandinagar 25 kva(Dindayal),8.0,25  kVA,24.9182855,92.4990599,False
98,220,108.92999999999999,133.0,327,327-Rongpur 25 kva(Dindayal),2.0,25  kVA,24.9793367,92.4243933,False
99,221,36.35,133.0,328,328-Gobindapur-I 25 kva(Dindayal),6.0,25  kVA,24.9158295,92.6124281,False
100,222,86.46,133.0,331,331- Madar Pur (Dindayal) DT-1,8.0,25  kVA,24.8749171,92.5227254,False
101,224,8.37,133.0,333,333-Kalainchera-63- KVA,5.0,100 kVA,25.0121931,92.5071962,False
102,225,21.19,133.0,335,335-VITORKUL-16-KVA,5.0,16  kVA,24.991835,92.5424317,False
103,229,20.69,133.0,341,341-BANGARPAR BAZAR,9.0,100 kVA,24.9221483,92.6591983,False
104,230,17.8,133.0,342,342-BHANGARPAR IV,9.0,100 kVA,24.9221694,92.6618018,False
105,231,10.33,133.0,347,347-Chandpur V 25 kva(Dindayal),9.0,25  kVA,24.8802459,92.6890964,False
106,232,78.06,133.0,350,350-Sonapur,9.0,63  kVA,24.8843978,92.6899701,False
107,233,29.0,133.0,352,352-BIAKIMPUNJI-25-KVA,5.0,16  kVA,25.0206801,92.4596856,False
108,234,62.48,133.0,353,353-BOLASHARGRANT-16-.KVA,5.0,63  kVA,25.0046169,92.4539044,False
109,235,115.89,133.0,354,354-BISWAMBERPUR,5.0,100 kVA,25.0214017,92.4730373,False
110,236,85.49,133.0,357,357-10 KVA,5.0,10  kVA,25.0167264,92.491598,False
111,237,41.83,133.0,358,358-BALESWARGRANT,5.0,16  kVA,25.0063696,92.4527822,False
112,238,46.56,133.0,359,359-BALESWARGRANT,5.0,16  kVA,25.0232986,92.4914376,False
113,241,32.69,133.0,361,361-CHANDPUR II,9.0,16  kVA,24.8894184,92.6716817,False
114,244,108.58,133.0,362,362- GOBINDAKUPA,5.0,63  kVA,24.991042,92.5210683,False
115,245,219.48,133.0,364,364-CHANDPUR,9.0,16  kVA,24.90004,92.663215,False
116,246,27.34,133.0,368,368-CHANDPUR III (BELAKONA),9.0,63  kVA,24.899173,92.6780843,False
117,247,8.07,133.0,369,369-CHANDPUR III,9.0,63  kVA,24.8925486,92.6711184,False
118,248,17.27,133.0,370,370-BHANGARPAR II,9.0,100 kVA,24.91913,92.6587917,False
119,249,18.95,133.0,374,374-RANGHAR III,9.0,25  kVA,24.9076133,92.6750183,False
120,253,10.620000000000001,133.0,375,375-BHANGARPAR IV,9.0,63  kVA,24.9116679,92.6710812,False
121,257,44.61,133.0,377,377-BHEWARPAR,9.0,63  kVA,24.9114717,92.668865,False
