,index,Cons No,Dtr No,Category,Load,Latitude,Longitude,cumulative sum
0,42908,133010071108,18,46,1.0,24.9822656,92.5149967,1.0
1,12108,133000017918,18,46,1.0,24.9839075,92.5169297,2.0
2,2649,133000003859,18,48,0.68,24.9802931,92.5221142,2.68
3,2648,133000003858,18,48,0.66,24.9802931,92.5221142,3.34
4,2627,133000003826,18,48,0.48,24.9833331,92.5192449,3.8200000000000003
5,13667,133000019968,18,46,0.42,24.9759767,92.5363524,4.24
6,28758,133000037023,18,46,1.0,24.9818843,92.5237227,5.24
7,2656,133000003867,18,48,3.0,24.983882,92.5189849,8.24
8,22500,133000030014,18,49,0.7,24.981843,92.5180911,8.94
9,12109,133000017919,18,46,1.0,24.9756324,92.5348045,9.94
10,28249,133000036496,18,46,1.0,24.9824071,92.5234827,10.94
11,28243,133000036490,18,46,1.0,24.9763315,92.5372811,11.94
12,10173,133000015448,18,46,1.0,24.9826309,92.5153061,12.94
13,10150,133000015419,18,46,0.42,24.9822204,92.5221928,13.36
14,27255,133000035300,18,46,0.52,24.9775532,92.5307804,13.88
15,2650,133000003860,18,48,0.4,24.9752409,92.5360428,14.28
16,274,133000000410,18,46,0.7,24.9863542,92.5182578,14.98
17,44428,133010073297,18,46,1.0,24.9840751,92.5135377,15.98
18,2651,133000003861,18,48,0.32,24.9828501,92.5195822,16.3
19,34226,133000043238,18,46,0.49,24.9799331,92.5214952,16.79
20,18307,133000025268,18,48,0.62,24.9811176,92.5171628,17.41
21,12756,133000018811,18,48,0.62,24.9830814,92.5193797,18.03
22,30824,133000039343,18,46,1.0,24.981866,92.521434,19.03
23,5331,133000007800,18,46,2.0,24.9840505,92.5190195,21.03
24,5342,133000007812,18,46,2.0,24.9806741,92.5214952,23.03
25,34017,133000042936,18,43,0.49,24.9840095,92.5181129,23.52
26,34223,133000043235,18,46,0.49,24.981315,92.5229405,24.01
27,44429,133010073298,18,46,1.0,24.9811228,92.5168533,25.01
28,34224,133000043236,18,46,0.49,24.9812516,92.5230087,25.5
29,34225,133000043237,18,46,0.49,24.9806897,92.5205668,25.990000000000002
30,5326,133000007794,18,46,0.48,24.9830838,92.5190489,26.47
31,5325,133000007793,18,46,2.0,24.9823549,92.518584,28.47
32,13664,133000019965,18,46,0.63,24.9824126,92.5234841,29.1
33,13666,133000019967,18,46,0.44,24.9756324,92.5348045,29.54
34,17613,133000024497,18,46,1.0,24.9820629,92.5215811,30.54
35,27563,133000035719,18,48,1.0,24.9833977,92.5191705,31.54
36,17614,133000024498,18,46,1.0,24.9799331,92.5214952,32.54
37,12107,133000017917,18,46,1.0,24.9763262,92.5375907,33.54
38,29518,133000037840,18,46,1.0,24.9823557,92.5192025,34.54
39,11941,133000017705,18,46,0.06,24.9811176,92.5171628,34.6
40,32100,133000040844,18,46,0.49,24.9807619,92.5245733,35.09
41,32099,133000040843,18,46,0.49,24.9807899,92.5239359,35.58
42,32098,133000040842,18,46,0.49,24.9809561,92.523642,36.07
43,14692,133000021150,18,46,2.05,24.981843,92.5180911,38.12
44,14702,133000021160,18,46,1.0,24.9861928,92.5180905,39.12
45,33864,133000042761,18,46,1.0,24.9811734,92.5233179,40.12
46,13877,133000020224,18,46,0.06,24.9814516,92.5193289,40.18
